PostalCode,HubID,LMR,CourierId
0788,PTG,Regional,courier_a
0789,PTG,Regional,courier_a
0790,PTG,Regional,courier_a
0791,PTG,Regional,courier_a
0792,PTG,Regional,courier_a
0793,PTG,Regional,courier_a
0794,PTG,Regional,courier_a
0795,PTG,Main,courier_a
0796,PTG,Regional,courier_a
0797,PTG,Regional,courier_a
0798,PTG,Regional,courier_a
0799,PTG,Regional,courier_a
0800,PTG,Regional,courier_a
0801,PTG,Regional,courier_a
0802,PTG,Regional,courier_a
0803,PTG,Regional,courier_a
0804,PTG,Regional,courier_a
0805,PTG,Regional,courier_a
0806,PTG,Regional,courier_a
0807,PTG,Regional,courier_a
0808,PTG,Regional,courier_a
0809,PTG,Regional,courier_a
0810,PTG,Regional,courier_a
0811,PTG,Regional,courier_a
0812,PTG,Regional,courier_a
0813,PTG,Regional,courier_a
0814,PTG,Regional,courier_a
0815,PTG,Regional,courier_a
0816,PTG,Regional,courier_a
0817,PTG,Regional,courier_a
0818,PTG,Regional,courier_a
0819,PTG,Regional,courier_a
0820,PTG,Regional,courier_a
0821,PTG,Regional,courier_a
0822,PTG,Regional,courier_a
0823,PTG,Regional,courier_a
0824,PTG,Regional,courier_a
0825,PTG,Regional,courier_a
0826,PTG,Regional,courier_a
0827,PTG,Regional,courier_a
0828,PTG,Regional,courier_a
0829,PTG,Regional,courier_a
0830,PTG,Regional,courier_a
0831,PTG,Regional,courier_a
0832,PTG,Regional,courier_a
0833,PTG,Regional,courier_a
0834,PTG,Regional,courier_a
0835,PTG,Regional,courier_a
0836,PTG,Regional,courier_a
0837,PTG,Regional,courier_a
0838,PTG,Regional,courier_a
0839,PTG,Regional,courier_a
0840,PTG,Regional,courier_a
0841,PTG,Regional,courier_a
0842,PTG,Regional,courier_a
0843,PTG,Regional,courier_a
0844,PTG,Regional,courier_a
0845,PTG,Regional,courier_a
0846,PTG,Regional,courier_a
0847,PTG,Regional,courier_a
0848,PTG,Regional,courier_a
0849,PTG,Regional,courier_a
0850,PTG,Regional,courier_a
0852,PTG,Regional,courier_a
0854,PTG,Regional,courier_a
0855,PTG,Regional,courier_a
